year,scheme,level,gender,applied,funded
2013,Practitioner Fellows,PF2,women ,6,3
2013,Practitioner Fellows,PF2,men ,16,8
2013,Practitioner Fellows,PF1,women ,10,1
2013,Practitioner Fellows,PF1,men ,25,4
2013,Research Fellows,SPRF,women ,8,3
2013,Research Fellows,SPRF,men ,25,18
2013,Research Fellows,PRF,women ,14,7
2013,Research Fellows,PRF,men ,41,17
2013,Research Fellows,SRF,women ,59,14
2013,Research Fellows,SRF,men ,94,19
2013,Career Development Fellows,CDF2,women,64,14
2013,Career Development Fellows,CDF2,men,68,10
2013,Career Development Fellows,CDF1,women,103,24
2013,Career Development Fellows,CDF1,men,73,12
