year,scheme,category,gender,applied,funded
2014,Early Career Fellowships,Basic Science,women ,1,NA
2014,Early Career Fellowships,Basic Science,men ,NA,NA
2014,Early Career Fellowships,Clinical Medicine and Science,women ,22,7
2014,Early Career Fellowships,Clinical Medicine and Science,men ,18,6
2014,Early Career Fellowships,Health Services Research,women ,6,NA
2014,Early Career Fellowships,Health Services Research,men ,4,NA
2014,Early Career Fellowships,Public Health,women ,11,4
2014,Early Career Fellowships,Public Health,men ,NA,NA
2014,Career Development Fellowships,Basic Science,women ,2,NA
2014,Career Development Fellowships,Basic Science,men ,2,NA
2014,Career Development Fellowships,Clinical Medicine and Science,women ,13,2
2014,Career Development Fellowships,Clinical Medicine and Science,men ,9,1
2014,Career Development Fellowships,Health Services Research,women ,2,NA
2014,Career Development Fellowships,Health Services Research,men ,1,NA
2014,Career Development Fellowships,Public Health,women ,5,1
2014,Career Development Fellowships,Public Health,men ,NA,NA
