year,scheme,category,women_applied,women_funded,men_applied,men_funded,unknown_applied,unknown_funded
2012,Early Career Fellowships,Australian Clinical,28,7,14,2,NA,NA
2012,Early Career Fellowships,Overseas Clinical (Neil Hamilton Fairley),9,2,14,7,NA,NA
2012,Early Career Fellowships,Australian Biomedical (Peter Doherty),88,14,69,15,NA,NA
2012,Early Career Fellowships,Overseas Biomedical (CJ Martin)**,40,7,46,26,2,0
2012,Early Career Fellowships,Australian Public Health,54,14,18,4,NA,NA
2012,Early Career Fellowships,Overseas Public Health (Sidney Sax),12,4,3,2,NA,NA
2012,Early Career Fellowships,Australian Research Training (part time),15,4,0,0,NA,NA
2012,Early Career Fellowships,Health Professional Research (part time),14,4,10,7,NA,NA
2012,Early Career Fellowships,Aboriginal and Torres Strait Islander Health Research,7,3,5,1,NA,NA
2012,Early Career Fellowships,Primary Health Care,3,0,2,1,NA,NA
2012,Early Career Fellowships,INSERM Exchange Fellowship,0,0,1,0,NA,NA
2012,Early Career Fellowships,Australia-China Exchange,5,3,4,1,NA,NA
2012,Career Development Fellowships,Biomedical,86,12,98,21,NA,NA
2012,Career Development Fellowships,Population Health,45,9,38,6,NA,NA
2012,Career Development Fellowships,Clinical,29,5,38,7,NA,NA
2012,Career Development Fellowships,Industry,4,1,7,1,NA,NA
2012,Research Fellowships,Basic Science,30,10,80,38,NA,NA
2012,Research Fellowships,Clinical Medicine and Science,9,6,28,11,NA,NA
2012,Research Fellowships,Health Services Research,1,0,4,3,NA,NA
2012,Research Fellowships,Public Health,22,11,11,6,NA,NA
2012,Practitioner Fellowships,Basic Science,0,0,0,0,NA,NA
2012,Practitioner Fellowships,Clinical Medicine and Science,11,4,37,15,NA,NA
2012,Practitioner Fellowships,Health Services Research,1,0,3,0,NA,NA
2012,Practitioner Fellowships,Preventative Medicine,0,0,0,0,NA,NA
2012,Practitioner Fellowships,Public Health,2,0,3,0,NA,NA
2012,Project Grants (All Standard & NI),Basic Science,613,130,1283,301,NA,NA
2012,Project Grants (All Standard & NI),Clinical Medicine and Science,464,67,735,141,NA,NA
2012,Project Grants (All Standard & NI),Health Services Research,71,16,41,10,NA,NA
2012,Project Grants (All Standard & NI),Public Health,191,30,172,36,NA,NA
2012,Targeted Call for Research,Mental Health,55,7,47,6,NA,NA
2012,European Union,Mental Health,5,2,3,3,NA,NA
